index;cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id;cell;inside
17;17;18,1593;108,24;19,34;110,28;0;17;main;POLYGON ((110.28 18.1593, 110.28 19.34, 108.24 19.34, 108.24 18.1593, 110.28 18.1593));True
18;18;18,1593;110,28;19,34;112,32;0;18;main;POLYGON ((112.32 18.1593, 112.32 19.34, 110.28 19.34, 110.28 18.1593, 112.32 18.1593));True
47;47;19,34;108,24;20,52;110,28;1;17;main;POLYGON ((110.28 19.34, 110.28 20.52, 108.24 20.52, 108.24 19.34, 110.28 19.34));True
48;48;19,34;110,28;20,52;112,32;1;18;main;POLYGON ((112.32 19.34, 112.32 20.52, 110.28 20.52, 110.28 19.34, 112.32 19.34));True
72;72;20,52;98,04;21,7;100,08;2;12;main;POLYGON ((100.08 20.52, 100.08 21.7, 98.04 21.7, 98.04 20.52, 100.08 20.52));True
73;73;20,52;100,08;21,7;102,12;2;13;main;POLYGON ((102.12 20.52, 102.12 21.7, 100.08 21.7, 100.08 20.52, 102.12 20.52));True
76;76;20,52;106,2;21,7;108,24;2;16;main;POLYGON ((108.24 20.52, 108.24 21.7, 106.2 21.7, 106.2 20.52, 108.24 20.52));True
77;77;20,52;108,24;21,7;110,28;2;17;main;POLYGON ((110.28 20.52, 110.28 21.7, 108.24 21.7, 108.24 20.52, 110.28 20.52));True
78;78;20,52;110,28;21,7;112,32;2;18;main;POLYGON ((112.32 20.52, 112.32 21.7, 110.28 21.7, 110.28 20.52, 112.32 20.52));True
79;79;20,52;112,32;21,7;114,36;2;19;main;POLYGON ((114.36 20.52, 114.36 21.7, 112.32 21.7, 112.32 20.52, 114.36 20.52));True
102;102;21,7;98,04;22,88;100,08;3;12;main;POLYGON ((100.08 21.7, 100.08 22.88, 98.04 22.88, 98.04 21.7, 100.08 21.7));True
103;103;21,7;100,08;22,88;102,12;3;13;main;POLYGON ((102.12 21.7, 102.12 22.88, 100.08 22.88, 100.08 21.7, 102.12 21.7));True
104;104;21,7;102,12;22,88;104,16;3;14;main;POLYGON ((104.16 21.7, 104.16 22.88, 102.12 22.88, 102.12 21.7, 104.16 21.7));True
105;105;21,7;104,16;22,88;106,2;3;15;main;POLYGON ((106.2 21.7, 106.2 22.88, 104.16 22.88, 104.16 21.7, 106.2 21.7));True
106;106;21,7;106,2;22,88;108,24;3;16;main;POLYGON ((108.24 21.7, 108.24 22.88, 106.2 22.88, 106.2 21.7, 108.24 21.7));True
107;107;21,7;108,24;22,88;110,28;3;17;main;POLYGON ((110.28 21.7, 110.28 22.88, 108.24 22.88, 108.24 21.7, 110.28 21.7));True
108;108;21,7;110,28;22,88;112,32;3;18;main;POLYGON ((112.32 21.7, 112.32 22.88, 110.28 22.88, 110.28 21.7, 112.32 21.7));True
109;109;21,7;112,32;22,88;114,36;3;19;main;POLYGON ((114.36 21.7, 114.36 22.88, 112.32 22.88, 112.32 21.7, 114.36 21.7));True
110;110;21,7;114,36;22,88;116,4;3;20;main;POLYGON ((116.4 21.7, 116.4 22.88, 114.36 22.88, 114.36 21.7, 116.4 21.7));True
131;131;22,88;96,0;24,06;98,04;4;11;main;POLYGON ((98.04 22.88, 98.04 24.06, 96 24.06, 96 22.88, 98.04 22.88));True
132;132;22,88;98,04;24,06;100,08;4;12;main;POLYGON ((100.08 22.88, 100.08 24.06, 98.04 24.06, 98.04 22.88, 100.08 22.88));True
133;133;22,88;100,08;24,06;102,12;4;13;main;POLYGON ((102.12 22.88, 102.12 24.06, 100.08 24.06, 100.08 22.88, 102.12 22.88));True
134;134;22,88;102,12;24,06;104,16;4;14;main;POLYGON ((104.16 22.88, 104.16 24.06, 102.12 24.06, 102.12 22.88, 104.16 22.88));True
135;135;22,88;104,16;24,06;106,2;4;15;main;POLYGON ((106.2 22.88, 106.2 24.06, 104.16 24.06, 104.16 22.88, 106.2 22.88));True
