cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id
17;18,1593;109,26;19,34;111,3;0;17;vertical_shift
18;18,1593;111,3;19,34;113,34;0;18;vertical_shift
47;19,34;109,26;20,52;111,3;1;17;vertical_shift
48;19,34;111,3;20,52;113,34;1;18;vertical_shift
72;20,52;99,06;21,7;101,1;2;12;vertical_shift
73;20,52;101,1;21,7;103,14;2;13;vertical_shift
76;20,52;107,22;21,7;109,26;2;16;vertical_shift
77;20,52;109,26;21,7;111,3;2;17;vertical_shift
78;20,52;111,3;21,7;113,34;2;18;vertical_shift
79;20,52;113,34;21,7;115,38;2;19;vertical_shift
102;21,7;99,06;22,88;101,1;3;12;vertical_shift
103;21,7;101,1;22,88;103,14;3;13;vertical_shift
104;21,7;103,14;22,88;105,18;3;14;vertical_shift
105;21,7;105,18;22,88;107,22;3;15;vertical_shift
106;21,7;107,22;22,88;109,26;3;16;vertical_shift
107;21,7;109,26;22,88;111,3;3;17;vertical_shift
108;21,7;111,3;22,88;113,34;3;18;vertical_shift
109;21,7;113,34;22,88;115,38;3;19;vertical_shift
110;21,7;115,38;22,88;117,42;3;20;vertical_shift
131;22,88;97,02;24,06;99,06;4;11;vertical_shift
132;22,88;99,06;24,06;101,1;4;12;vertical_shift
133;22,88;101,1;24,06;103,14;4;13;vertical_shift
134;22,88;103,14;24,06;105,18;4;14;vertical_shift
135;22,88;105,18;24,06;107,22;4;15;vertical_shift
136;22,88;107,22;24,06;109,26;4;16;vertical_shift
137;22,88;109,26;24,06;111,3;4;17;vertical_shift
138;22,88;111,3;24,06;113,34;4;18;vertical_shift
139;22,88;113,34;24,06;115,38;4;19;vertical_shift
140;22,88;115,38;24,06;117,42;4;20;vertical_shift
141;22,88;117,42;24,06;119,46;4;21;vertical_shift
161;24,06;97,02;25,24;99,06;5;11;vertical_shift
162;24,06;99,06;25,24;101,1;5;12;vertical_shift
163;24,06;101,1;25,24;103,14;5;13;vertical_shift
164;24,06;103,14;25,24;105,18;5;14;vertical_shift
165;24,06;105,18;25,24;107,22;5;15;vertical_shift
166;24,06;107,22;25,24;109,26;5;16;vertical_shift
167;24,06;109,26;25,24;111,3;5;17;vertical_shift
168;24,06;111,3;25,24;113,34;5;18;vertical_shift
169;24,06;113,34;25,24;115,38;5;19;vertical_shift
170;24,06;115,38;25,24;117,42;5;20;vertical_shift
171;24,06;117,42;25,24;119,46;5;21;vertical_shift
172;24,06;119,46;25,24;121,5;5;22;vertical_shift
191;25,24;97,02;26,42;99,06;6;11;vertical_shift
192;25,24;99,06;26,42;101,1;6;12;vertical_shift
193;25,24;101,1;26,42;103,14;6;13;vertical_shift
194;25,24;103,14;26,42;105,18;6;14;vertical_shift
195;25,24;105,18;26,42;107,22;6;15;vertical_shift
196;25,24;107,22;26,42;109,26;6;16;vertical_shift
197;25,24;109,26;26,42;111,3;6;17;vertical_shift
198;25,24;111,3;26,42;113,34;6;18;vertical_shift
199;25,24;113,34;26,42;115,38;6;19;vertical_shift
200;25,24;115,38;26,42;117,42;6;20;vertical_shift
201;25,24;117,42;26,42;119,46;6;21;vertical_shift
202;25,24;119,46;26,42;121,5;6;22;vertical_shift
217;26,42;88,86;27,6;90,9;7;7;vertical_shift
222;26,42;99,06;27,6;101,1;7;12;vertical_shift
223;26,42;101,1;27,6;103,14;7;13;vertical_shift
224;26,42;103,14;27,6;105,18;7;14;vertical_shift
225;26,42;105,18;27,6;107,22;7;15;vertical_shift
226;26,42;107,22;27,6;109,26;7;16;vertical_shift
227;26,42;109,26;27,6;111,3;7;17;vertical_shift
228;26,42;111,3;27,6;113,34;7;18;vertical_shift
229;26,42;113,34;27,6;115,38;7;19;vertical_shift
230;26,42;115,38;27,6;117,42;7;20;vertical_shift
231;26,42;117,42;27,6;119,46;7;21;vertical_shift
232;26,42;119,46;27,6;121,5;7;22;vertical_shift
233;26,42;121,5;27,6;123,54;7;23;vertical_shift
245;27,6;84,78;28,78;86,82;8;5;vertical_shift
