cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id
0;18,1593;74,58;19,34;76,62;0;0;vertical_shift
1;18,1593;76,62;19,34;78,66;0;1;vertical_shift
2;18,1593;78,66;19,34;80,7;0;2;vertical_shift
3;18,1593;80,7;19,34;82,74;0;3;vertical_shift
4;18,1593;82,74;19,34;84,78;0;4;vertical_shift
5;18,1593;84,78;19,34;86,82;0;5;vertical_shift
6;18,1593;86,82;19,34;88,86;0;6;vertical_shift
7;18,1593;88,86;19,34;90,9;0;7;vertical_shift
8;18,1593;90,9;19,34;92,94;0;8;vertical_shift
9;18,1593;92,94;19,34;94,98;0;9;vertical_shift
10;18,1593;94,98;19,34;97,02;0;10;vertical_shift
11;18,1593;97,02;19,34;99,06;0;11;vertical_shift
12;18,1593;99,06;19,34;101,1;0;12;vertical_shift
13;18,1593;101,1;19,34;103,14;0;13;vertical_shift
14;18,1593;103,14;19,34;105,18;0;14;vertical_shift
15;18,1593;105,18;19,34;107,22;0;15;vertical_shift
16;18,1593;107,22;19,34;109,26;0;16;vertical_shift
17;18,1593;109,26;19,34;111,3;0;17;vertical_shift
18;18,1593;111,3;19,34;113,34;0;18;vertical_shift
19;18,1593;113,34;19,34;115,38;0;19;vertical_shift
20;18,1593;115,38;19,34;117,42;0;20;vertical_shift
21;18,1593;117,42;19,34;119,46;0;21;vertical_shift
22;18,1593;119,46;19,34;121,5;0;22;vertical_shift
23;18,1593;121,5;19,34;123,54;0;23;vertical_shift
24;18,1593;123,54;19,34;125,58;0;24;vertical_shift
25;18,1593;125,58;19,34;127,62;0;25;vertical_shift
26;18,1593;127,62;19,34;129,66;0;26;vertical_shift
27;18,1593;129,66;19,34;131,7;0;27;vertical_shift
28;18,1593;131,7;19,34;133,74;0;28;vertical_shift
29;18,1593;133,74;19,34;135,78;0;29;vertical_shift
30;19,34;74,58;20,52;76,62;1;0;vertical_shift
31;19,34;76,62;20,52;78,66;1;1;vertical_shift
32;19,34;78,66;20,52;80,7;1;2;vertical_shift
33;19,34;80,7;20,52;82,74;1;3;vertical_shift
34;19,34;82,74;20,52;84,78;1;4;vertical_shift
35;19,34;84,78;20,52;86,82;1;5;vertical_shift
36;19,34;86,82;20,52;88,86;1;6;vertical_shift
37;19,34;88,86;20,52;90,9;1;7;vertical_shift
38;19,34;90,9;20,52;92,94;1;8;vertical_shift
39;19,34;92,94;20,52;94,98;1;9;vertical_shift
40;19,34;94,98;20,52;97,02;1;10;vertical_shift
41;19,34;97,02;20,52;99,06;1;11;vertical_shift
42;19,34;99,06;20,52;101,1;1;12;vertical_shift
43;19,34;101,1;20,52;103,14;1;13;vertical_shift
44;19,34;103,14;20,52;105,18;1;14;vertical_shift
45;19,34;105,18;20,52;107,22;1;15;vertical_shift
46;19,34;107,22;20,52;109,26;1;16;vertical_shift
47;19,34;109,26;20,52;111,3;1;17;vertical_shift
48;19,34;111,3;20,52;113,34;1;18;vertical_shift
49;19,34;113,34;20,52;115,38;1;19;vertical_shift
50;19,34;115,38;20,52;117,42;1;20;vertical_shift
51;19,34;117,42;20,52;119,46;1;21;vertical_shift
52;19,34;119,46;20,52;121,5;1;22;vertical_shift
53;19,34;121,5;20,52;123,54;1;23;vertical_shift
54;19,34;123,54;20,52;125,58;1;24;vertical_shift
55;19,34;125,58;20,52;127,62;1;25;vertical_shift
56;19,34;127,62;20,52;129,66;1;26;vertical_shift
57;19,34;129,66;20,52;131,7;1;27;vertical_shift
58;19,34;131,7;20,52;133,74;1;28;vertical_shift
59;19,34;133,74;20,52;135,78;1;29;vertical_shift
60;20,52;74,58;21,7;76,62;2;0;vertical_shift
61;20,52;76,62;21,7;78,66;2;1;vertical_shift
62;20,52;78,66;21,7;80,7;2;2;vertical_shift
63;20,52;80,7;21,7;82,74;2;3;vertical_shift
64;20,52;82,74;21,7;84,78;2;4;vertical_shift
65;20,52;84,78;21,7;86,82;2;5;vertical_shift
66;20,52;86,82;21,7;88,86;2;6;vertical_shift
67;20,52;88,86;21,7;90,9;2;7;vertical_shift
68;20,52;90,9;21,7;92,94;2;8;vertical_shift
69;20,52;92,94;21,7;94,98;2;9;vertical_shift
70;20,52;94,98;21,7;97,02;2;10;vertical_shift
71;20,52;97,02;21,7;99,06;2;11;vertical_shift
72;20,52;99,06;21,7;101,1;2;12;vertical_shift
73;20,52;101,1;21,7;103,14;2;13;vertical_shift
74;20,52;103,14;21,7;105,18;2;14;vertical_shift
75;20,52;105,18;21,7;107,22;2;15;vertical_shift
76;20,52;107,22;21,7;109,26;2;16;vertical_shift
77;20,52;109,26;21,7;111,3;2;17;vertical_shift
78;20,52;111,3;21,7;113,34;2;18;vertical_shift
79;20,52;113,34;21,7;115,38;2;19;vertical_shift
80;20,52;115,38;21,7;117,42;2;20;vertical_shift
81;20,52;117,42;21,7;119,46;2;21;vertical_shift
82;20,52;119,46;21,7;121,5;2;22;vertical_shift
83;20,52;121,5;21,7;123,54;2;23;vertical_shift
84;20,52;123,54;21,7;125,58;2;24;vertical_shift
85;20,52;125,58;21,7;127,62;2;25;vertical_shift
86;20,52;127,62;21,7;129,66;2;26;vertical_shift
87;20,52;129,66;21,7;131,7;2;27;vertical_shift
88;20,52;131,7;21,7;133,74;2;28;vertical_shift
89;20,52;133,74;21,7;135,78;2;29;vertical_shift
90;21,7;74,58;22,88;76,62;3;0;vertical_shift
91;21,7;76,62;22,88;78,66;3;1;vertical_shift
92;21,7;78,66;22,88;80,7;3;2;vertical_shift
93;21,7;80,7;22,88;82,74;3;3;vertical_shift
94;21,7;82,74;22,88;84,78;3;4;vertical_shift
95;21,7;84,78;22,88;86,82;3;5;vertical_shift
96;21,7;86,82;22,88;88,86;3;6;vertical_shift
97;21,7;88,86;22,88;90,9;3;7;vertical_shift
98;21,7;90,9;22,88;92,94;3;8;vertical_shift
99;21,7;92,94;22,88;94,98;3;9;vertical_shift
