cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id
0;18,75;73,5577;19,93;75,6;0;0;horizontal_shift
1;18,75;75,6;19,93;77,64;0;1;horizontal_shift
2;18,75;77,64;19,93;79,68;0;2;horizontal_shift
3;18,75;79,68;19,93;81,72;0;3;horizontal_shift
4;18,75;81,72;19,93;83,76;0;4;horizontal_shift
5;18,75;83,76;19,93;85,8;0;5;horizontal_shift
6;18,75;85,8;19,93;87,84;0;6;horizontal_shift
7;18,75;87,84;19,93;89,88;0;7;horizontal_shift
8;18,75;89,88;19,93;91,92;0;8;horizontal_shift
9;18,75;91,92;19,93;93,96;0;9;horizontal_shift
10;18,75;93,96;19,93;96,0;0;10;horizontal_shift
11;18,75;96,0;19,93;98,04;0;11;horizontal_shift
12;18,75;98,04;19,93;100,08;0;12;horizontal_shift
13;18,75;100,08;19,93;102,12;0;13;horizontal_shift
14;18,75;102,12;19,93;104,16;0;14;horizontal_shift
15;18,75;104,16;19,93;106,2;0;15;horizontal_shift
16;18,75;106,2;19,93;108,24;0;16;horizontal_shift
17;18,75;108,24;19,93;110,28;0;17;horizontal_shift
18;18,75;110,28;19,93;112,32;0;18;horizontal_shift
19;18,75;112,32;19,93;114,36;0;19;horizontal_shift
20;18,75;114,36;19,93;116,4;0;20;horizontal_shift
21;18,75;116,4;19,93;118,44;0;21;horizontal_shift
22;18,75;118,44;19,93;120,48;0;22;horizontal_shift
23;18,75;120,48;19,93;122,52;0;23;horizontal_shift
24;18,75;122,52;19,93;124,56;0;24;horizontal_shift
25;18,75;124,56;19,93;126,6;0;25;horizontal_shift
26;18,75;126,6;19,93;128,64;0;26;horizontal_shift
27;18,75;128,64;19,93;130,68;0;27;horizontal_shift
28;18,75;130,68;19,93;132,72;0;28;horizontal_shift
29;18,75;132,72;19,93;134,76;0;29;horizontal_shift
30;19,93;73,5577;21,11;75,6;1;0;horizontal_shift
31;19,93;75,6;21,11;77,64;1;1;horizontal_shift
32;19,93;77,64;21,11;79,68;1;2;horizontal_shift
33;19,93;79,68;21,11;81,72;1;3;horizontal_shift
34;19,93;81,72;21,11;83,76;1;4;horizontal_shift
35;19,93;83,76;21,11;85,8;1;5;horizontal_shift
36;19,93;85,8;21,11;87,84;1;6;horizontal_shift
37;19,93;87,84;21,11;89,88;1;7;horizontal_shift
38;19,93;89,88;21,11;91,92;1;8;horizontal_shift
39;19,93;91,92;21,11;93,96;1;9;horizontal_shift
40;19,93;93,96;21,11;96,0;1;10;horizontal_shift
41;19,93;96,0;21,11;98,04;1;11;horizontal_shift
42;19,93;98,04;21,11;100,08;1;12;horizontal_shift
43;19,93;100,08;21,11;102,12;1;13;horizontal_shift
44;19,93;102,12;21,11;104,16;1;14;horizontal_shift
45;19,93;104,16;21,11;106,2;1;15;horizontal_shift
