cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id
0;18,1593;73,5577;19,34;75,6;0;0;main
1;18,1593;75,6;19,34;77,64;0;1;main
2;18,1593;77,64;19,34;79,68;0;2;main
3;18,1593;79,68;19,34;81,72;0;3;main
4;18,1593;81,72;19,34;83,76;0;4;main
5;18,1593;83,76;19,34;85,8;0;5;main
6;18,1593;85,8;19,34;87,84;0;6;main
7;18,1593;87,84;19,34;89,88;0;7;main
8;18,1593;89,88;19,34;91,92;0;8;main
9;18,1593;91,92;19,34;93,96;0;9;main
10;18,1593;93,96;19,34;96,0;0;10;main
11;18,1593;96,0;19,34;98,04;0;11;main
12;18,1593;98,04;19,34;100,08;0;12;main
13;18,1593;100,08;19,34;102,12;0;13;main
14;18,1593;102,12;19,34;104,16;0;14;main
15;18,1593;104,16;19,34;106,2;0;15;main
16;18,1593;106,2;19,34;108,24;0;16;main
17;18,1593;108,24;19,34;110,28;0;17;main
18;18,1593;110,28;19,34;112,32;0;18;main
19;18,1593;112,32;19,34;114,36;0;19;main
20;18,1593;114,36;19,34;116,4;0;20;main
21;18,1593;116,4;19,34;118,44;0;21;main
22;18,1593;118,44;19,34;120,48;0;22;main
23;18,1593;120,48;19,34;122,52;0;23;main
24;18,1593;122,52;19,34;124,56;0;24;main
25;18,1593;124,56;19,34;126,6;0;25;main
26;18,1593;126,6;19,34;128,64;0;26;main
27;18,1593;128,64;19,34;130,68;0;27;main
28;18,1593;130,68;19,34;132,72;0;28;main
29;18,1593;132,72;19,34;134,76;0;29;main
30;19,34;73,5577;20,52;75,6;1;0;main
31;19,34;75,6;20,52;77,64;1;1;main
32;19,34;77,64;20,52;79,68;1;2;main
33;19,34;79,68;20,52;81,72;1;3;main
34;19,34;81,72;20,52;83,76;1;4;main
35;19,34;83,76;20,52;85,8;1;5;main
36;19,34;85,8;20,52;87,84;1;6;main
37;19,34;87,84;20,52;89,88;1;7;main
38;19,34;89,88;20,52;91,92;1;8;main
39;19,34;91,92;20,52;93,96;1;9;main
40;19,34;93,96;20,52;96,0;1;10;main
41;19,34;96,0;20,52;98,04;1;11;main
42;19,34;98,04;20,52;100,08;1;12;main
43;19,34;100,08;20,52;102,12;1;13;main
44;19,34;102,12;20,52;104,16;1;14;main
45;19,34;104,16;20,52;106,2;1;15;main
46;19,34;106,2;20,52;108,24;1;16;main
47;19,34;108,24;20,52;110,28;1;17;main
48;19,34;110,28;20,52;112,32;1;18;main
49;19,34;112,32;20,52;114,36;1;19;main
50;19,34;114,36;20,52;116,4;1;20;main
51;19,34;116,4;20,52;118,44;1;21;main
52;19,34;118,44;20,52;120,48;1;22;main
53;19,34;120,48;20,52;122,52;1;23;main
54;19,34;122,52;20,52;124,56;1;24;main
55;19,34;124,56;20,52;126,6;1;25;main
56;19,34;126,6;20,52;128,64;1;26;main
57;19,34;128,64;20,52;130,68;1;27;main
